Date,STI,ASX 200,3M Bill Rates,SGDAUD
28/12/2009,2897.620117,4870.600098,0.0055,1.262642
4/01/2010,2922.76001,4912.100098,0.00571,1.283508
11/01/2010,2908.419922,4899.600098,0.00529,1.285121
18/01/2010,2819.709961,4750.600098,0.00491,1.269876
25/01/2010,2745.350098,4569.600098,0.00449,1.247723
1/02/2010,2683.560059,4514.100098,0.0043,1.229415
8/02/2010,2758.899902,4562.100098,0.00378,1.247024
15/02/2010,2757.139893,4635.100098,0.00379,1.263342
22/02/2010,2750.860107,4637.700195,0.00391,1.258804
1/03/2010,2790.290039,4767.200195,0.00402,1.270624
8/03/2010,2881.360107,4818.100098,0.00382,1.277528
15/03/2010,2915.699951,4872.200195,0.00369,1.280872
22/03/2010,2906.280029,4896.899902,0.00349,1.269155
29/03/2010,2943.02002,4907.700195,0.0034,1.286696
5/04/2010,2971.969971,4948.100098,0.00349,1.29467
12/04/2010,3007.189941,4984.700195,0.0034,1.273202
19/04/2010,2988.48999,4881.5,0.00341,1.263904
26/04/2010,2974.610107,4807.399902,0.00329,1.275683
3/05/2010,2821.110107,4480.700195,0.003,1.233893
10/05/2010,2855.209961,4611.100098,0.00292,1.23508
17/05/2010,2701.199951,4305.399902,0.00292,1.164349
24/05/2010,2739.699951,4457.5,0.00302,1.189408
31/05/2010,2806.51001,4449.399902,0.003,1.171118
7/06/2010,2796.290039,4505.5,0.003,1.191273
14/06/2010,2833.399902,4551.899902,0.00319,1.203386
21/06/2010,2851.639893,4413,0.00301,1.202942
28/06/2010,2844.189941,4238.700195,0.00321,1.177635
5/07/2010,2917.169922,4396.299805,0.00321,1.209087
12/07/2010,2957.719971,4422.700195,0.003,1.200244
19/07/2010,2973.469971,4458.399902,0.003,1.227173
26/07/2010,2987.699951,4493.5,0.0028,1.230733
2/08/2010,2995.060059,4566.100098,0.0028,1.233572
9/08/2010,2939.969971,4459.600098,0.0028,1.221976
16/08/2010,2936.47998,4430.899902,0.0028,1.205943
23/08/2010,2938.73999,4370.100098,0.0028,1.212587
30/08/2010,3002.560059,4541.200195,0.0028,1.229551
6/09/2010,3022.280029,4560.299805,0.00289,1.241742
13/09/2010,3076.370117,4638.899902,0.003,1.252153
20/09/2010,3092.679932,4601.899902,0.003,1.26823
27/09/2010,3130.899902,4579.200195,0.003,1.27282
4/10/2010,3153.340088,4681.399902,0.0028,1.283975
11/10/2010,3204.27002,4689,0.00292,1.282897
18/10/2010,3173.570068,4648.200195,0.00292,1.27333
25/10/2010,3142.620117,4661.600098,0.00292,1.268624
1/11/2010,3240.310059,4800.600098,0.00292,1.304166
8/11/2010,3252,4692.700195,0.0029,1.28088
15/11/2010,3197.370117,4629.200195,0.00292,1.277934
22/11/2010,3158.080078,4598.299805,0.003,1.271909
29/11/2010,3172.439941,4694.200195,0.00341,1.286883
6/12/2010,3185.419922,4745.899902,0.00349,1.288889
13/12/2010,3153.01001,4763.100098,0.00361,1.29677
20/12/2010,3143.800049,4777.299805,0.00382,1.305126
27/12/2010,3190.040039,4745.200195,0.00391,1.31314
3/01/2011,3261.350098,4705,0.00382,1.291795
10/01/2011,3245.959961,4801.5,0.00342,1.273529
17/01/2011,3184.600098,4755.700195,0.0034,1.27143
24/01/2011,3229.689941,4774.899902,0.00341,1.27434
31/01/2011,3211.120117,4862.700195,0.0034,1.293296
7/02/2011,3077.27002,4880.899902,0.0032,1.284199
14/02/2011,3086.919922,4936.700195,0.0032,1.288891
21/02/2011,3025.159912,4836.5,0.00329,1.294016
28/02/2011,3061.310059,4864.299805,0.00332,1.281344
7/03/2011,3043.48999,4644.799805,0.00299,1.276371
14/03/2011,2935.780029,4626.399902,0.003,1.268213
21/03/2011,3070.840088,4742.600098,0.00239,1.296418
28/03/2011,3120.469971,4861.799805,0.00252,1.308552
4/04/2011,3187.310059,4940.600098,0.00272,1.324491
11/04/2011,3153.300049,4852.100098,0.00252,1.312463
18/04/2011,3194.72998,4913.799805,0.00251,1.325769
25/04/2011,3172.72998,4823.200195,0.00272,1.337569
2/05/2011,3099.52002,4743,0.0026,1.327249
9/05/2011,3163.679932,4711.399902,0.0028,1.320308
16/05/2011,3168.540039,4732.200195,0.00292,1.317394
23/05/2011,3135.52002,4684,0.00329,1.321793
30/05/2011,3145.669922,4583.100098,0.00332,1.316568
6/06/2011,3078.350098,4562.100098,0.00332,1.303734
