Date,A17U.SI,A68U.SI,AP4.SI,BN4.SI,C07.SI,C2PU.SI,C31.SI,C52.SI,D05.SI,G92.SI,M44U.SI,O39.SI,S08.SI,S58.SI,S63.SI,U11.SI,U14.SI,V03.SI,Y92.SI,Z74.SI
28/12/2009,2.16977,1.10282,0.21808,7.2249,26.2609,1.22,4.2,1.64,15.4,0.95,0.7758,8.83192,1.01,2.74,3.25,19.700001,4.07,8.85,0.245,3.11
4/01/2010,1.98407,1.24067,0.23485,7.59361,25.7551,1.35,4.24,1.63,15.38,1.01667,0.78568,8.64752,1.02,2.67,3.26,19.92,4.07,9.2,0.245,3.05
11/01/2010,1.99385,1.24986,0.2705,7.5146,25.8913,1.35,4.28,1.63,15.14,1.03333,0.78074,8.54076,1.02,2.62,3.21,19.42,4.08,9.3,0.25,3.01
18/01/2010,1.90588,1.18553,0.27679,7.2249,25.191,1.34,4.07,1.64,14.82,0.99167,0.79063,8.20107,1.05,2.66,3.26,18.719999,3.95,9.17,0.255,3.01
25/01/2010,1.89611,1.06606,0.26001,7.3478,24.607401,1.3,3.86,1.59,14.28,0.925,0.77086,7.94873,1.01,2.48,3.09,18.16,3.74,8.47,0.26,3.01
1/02/2010,1.90588,1.04768,0.26001,7.18101,24.568501,1.27,3.64,1.53,14.04,0.90833,0.77086,7.85168,1.03,2.61,3.16,18,3.7,8.63,0.255,2.9
8/02/2010,1.85701,1.06606,0.2684,7.32147,22.954,1.29,3.93,1.54,14.18,0.94167,0.77086,8.2496,1.04,2.6,3.25,18.42,3.94,8.9,0.255,3.02
15/02/2010,1.87656,1.03849,0.2663,7.36536,22.9734,1.3,3.9,1.55,14.1,0.925,0.7758,8.28842,1.04,2.56,3.1,18.6,3.9,8.8,0.25,3.01
22/02/2010,1.88634,1.04768,0.26421,7.38292,23.6154,1.29,3.78,1.55,14,0.94167,0.78074,8.23989,1.05,2.61,3.13,18.639999,3.98,8.44,0.25,3.05
1/03/2010,1.91566,1.13039,0.2663,7.46193,24.8214,1.3,3.9,1.54,14.06,0.95833,0.78074,8.27872,1.06,2.61,3.12,17.860001,3.91,8.44,0.255,3.07
8/03/2010,1.91566,1.16715,0.26211,7.75163,26.5138,1.34,3.93,1.57,14.3,0.98333,0.81039,8.61841,1.07,2.65,3.2,18.700001,3.94,8.48,0.27,3.14
15/03/2010,1.87656,1.22229,0.25582,7.91842,26.5138,1.4,4.04,1.57,14.12,0.99167,0.84498,8.63782,1.09,2.64,3.29,19.440001,3.96,8.66,0.275,3.25
22/03/2010,1.90588,1.15796,0.26421,8.03255,28.4007,1.37,4.03,1.59,14.6,0.99167,0.84992,8.45341,1.09,2.67,3.25,19.48,3.94,8.75,0.275,3.2
29/03/2010,1.89611,1.13958,0.26211,8.28713,30.4237,1.37,4.04,1.56,14.56,1.10833,0.84004,8.6087,1.07,2.69,3.26,19.66,3.94,8.86,0.28,3.19
5/04/2010,1.90588,1.15796,0.26001,8.25201,29.412201,1.33,4.07,1.56,14.68,1.25833,0.82522,8.66693,1.07,2.7,3.32,19.84,4.07,9.4,0.285,3.16
12/04/2010,1.94498,1.14877,0.26001,8.37492,28.711901,1.36,4.1,1.59,15.48,1.39167,0.84498,8.89016,1.09,2.9,3.3,20.459999,4.09,9.8,0.295,3.12
19/04/2010,1.92543,1.13039,0.25792,8.83141,29.062,1.32,3.94,1.58,15.48,1.45833,0.87463,8.55047,1.09,2.85,3.29,20.219999,3.98,9.76,0.29,3.14
26/04/2010,1.89611,1.10282,0.28518,8.63828,29.645599,1.33,3.76,1.57,15.3,1.35833,0.86969,8.54076,1.09,2.82,3.18,20.32,3.85,9.89,0.285,3.05
3/05/2010,1.80815,1.0293,0.26421,7.86575,27.894899,1.31,3.63,1.45,14.36,1.21667,0.80051,8.29813,1.09,2.7,3.05,18.719999,3.62,8.78,0.285,2.98
10/05/2010,1.82769,1.06606,0.26421,8.03255,28.517401,1.36,3.64,1.49,14.36,1.26667,0.81039,8.58929,1.14,2.75,3.22,18.98,3.73,8.94,0.295,2.96
17/05/2010,1.87656,1.00173,0.26001,7.54094,26.144199,1.32,3.51,1.44,13.6,1.125,0.78074,8.10402,1.12,2.54,3.09,18.459999,3.67,8.45,0.27,2.86
24/05/2010,1.85701,0.96497,0.27259,7.65506,27.019501,1.32,3.57,1.45,13.78,1.09167,0.78074,8.11372,1.11,2.68,3.11,18.16,3.87,8.42,0.27,2.87
31/05/2010,1.83747,1.02011,0.25792,7.61117,29.101,1.36,3.6,1.42,13.78,1.14167,0.82027,8.29813,1.1,2.64,3.18,19.280001,3.74,8.7,0.275,2.96
7/06/2010,1.81792,1.01092,0.26001,7.45315,28.225599,1.35,3.63,1.43,13.6,1.11667,0.82027,8.0749,1.11,2.61,3.14,19.280001,3.79,8.59,0.28,2.97
14/06/2010,1.82769,1.03849,0.25163,7.67262,30.1514,1.39,3.7,1.45,13.58,1.18333,0.83016,8.23989,1.12,2.59,3.11,19.58,3.75,8.6,0.29,3.1
21/06/2010,1.80815,1.04768,0.29,7.69018,28.556299,1.37,3.72,1.51,13.66,1.16667,0.82522,8.40489,1.13,2.68,3.28,19.559999,3.78,9.06,0.285,3.05
28/06/2010,1.83747,1.00173,0.28,7.38292,30.0152,1.34,3.62,1.47,13.88,1.10833,0.83016,8.66693,1.1,2.74,3.33,19.6,3.78,8.95,0.275,3.08
5/07/2010,1.88634,1.07525,0.2725,7.70773,32.057701,1.35,3.68,1.52,14.24,1.18333,0.84004,8.71546,1.13,2.8,3.28,19.76,3.76,9.04,0.29,3.09
12/07/2010,1.95475,1.08444,0.28,7.72529,33.575001,1.44,3.79,1.51,14.8,1.175,0.84498,8.73487,1.13,2.81,3.24,19.879999,3.91,9.38,0.28,3.13
19/07/2010,2.01339,1.13039,0.285,7.84819,34.508801,1.43,3.88,1.55,14.4,1.21667,0.86969,8.71546,1.11,2.81,3.25,19.360001,3.92,9.45,0.28,3.09
26/07/2010,2.07204,1.08444,0.29,8.19934,34.82,1.49,3.96,1.6,14.4,1.20833,0.86969,8.76399,1.14,2.92,3.24,19.860001,3.95,9.15,0.285,3.12
2/08/2010,2.12091,1.08444,0.3,7.97109,33.186001,1.44,4.09,1.59,14.62,1.25833,0.85486,8.67664,1.14,2.87,3.22,19.52,4.1,9.14,0.285,3.04
9/08/2010,2.01339,1.09363,0.285,7.70773,32.680199,1.42,3.97,1.55,14.2,1.19167,0.84004,8.434,1.13,2.74,3.21,18.860001,3.96,8.95,0.285,3.04
16/08/2010,2.01339,1.10282,0.2725,7.6814,32.0966,1.44,4.05,1.53,13.96,1.19167,0.84992,8.37577,1.13,2.79,3.15,18.799999,4,8.81,0.29,2.96
23/08/2010,1.98407,1.0293,0.27,7.76918,31.941,1.53,4,1.49,13.72,1.175,0.8351,8.41459,1.13,2.77,3.15,18.780001,3.98,8.66,0.28,3
30/08/2010,2.14045,1.06606,0.2675,7.90087,34.372601,1.53,3.94,1.54,14.12,1.175,0.83016,8.6087,1.18,2.78,3.27,18.639999,4.04,8.69,0.295,3.1
6/09/2010,2.18932,1.05687,0.265,7.89209,34.917301,1.61,3.99,1.53,14.16,1.225,0.8351,8.47282,1.21,2.79,3.27,18.76,4.15,8.8,0.28,3.06
13/09/2010,2.13068,1.0659,0.2675,7.98865,36.376202,1.64,3.97,1.54,13.94,1.275,0.84498,8.54076,1.21,2.77,3.32,18.52,4.29,8.85,0.285,3.11
20/09/2010,2.12091,1.0659,0.26,7.93598,37.018101,1.56,4.05,1.55,14.08,1.3,0.86969,8.54076,1.22,2.8,3.32,18.559999,4.36,9.12,0.285,3.14
27/09/2010,2.12091,1.07517,0.26,7.99743,38.029701,1.62,4.12,1.54,14.22,1.26667,0.87944,8.59899,1.22,2.85,3.4,18.559999,4.58,9.73,0.275,3.19
4/10/2010,2.06226,1.08444,0.26,8.26079,38.515999,1.64,4.2,1.52,14.42,1.325,0.8695,8.73487,1.21,2.81,3.3,18.68,4.62,9.51,0.275,3.09
11/10/2010,2.05249,1.10298,0.26,8.56805,37.485001,1.66,4.13,1.51,14.86,1.35,0.86453,8.92898,1.18,2.82,3.38,18.780001,4.62,9.57,0.28,3.07
18/10/2010,2.03294,1.14932,0.2575,8.68217,37.893501,1.65,4,1.47,14.5,1.30833,0.88441,8.7931,1.17,2.77,3.37,18.440001,4.59,9.11,0.28,3.05
25/10/2010,2.01339,1.17713,0.2575,8.76118,38.224201,1.67,3.89,1.48,13.9,1.275,0.89435,8.74458,1.18,2.83,3.31,18.639999,4.55,9.06,0.28,3.09
1/11/2010,2.03294,1.15859,0.265,9.12989,37.426601,1.69,3.92,1.5,14.22,1.35,0.89931,9.13279,1.18,2.9,3.4,18.379999,4.66,9.39,0.28,3.21
8/11/2010,2.04272,1.12152,0.2575,9.23523,37.1348,1.67,3.82,1.46,14.04,1.33333,0.90925,9.686,1.18,2.86,3.36,18.42,4.62,9.1,0.28,3.27
15/11/2010,2.02317,1.10298,0.26,9.55127,37.095901,1.63,3.8,1.55,13.9,1.30833,0.89435,9.5016,1.16,2.82,3.34,18.32,4.65,9.03,0.28,3.12
22/11/2010,2.03294,1.10298,0.26,9.48104,36.687401,1.61,3.7,1.49,13.88,1.275,0.90925,9.33661,1.15,2.86,3.25,18.48,4.6,9.07,0.29,3.1
29/11/2010,2.05249,1.10298,0.26,9.4986,36.376202,1.61,3.67,1.54,14.04,1.30833,0.90925,9.5016,1.13,2.86,3.31,18.219999,4.64,8.97,0.295,3.09
6/12/2010,2.05249,1.13079,0.2575,9.53371,36.123299,1.62,3.67,1.54,14.02,1.275,0.91919,9.55983,1.14,2.88,3.28,18.139999,4.68,9.16,0.29,3.14
13/12/2010,1.96453,1.1864,0.2575,9.48104,34.567101,1.63,3.62,1.57,14.4,1.26667,0.94403,9.58895,1.23,2.79,3.23,17.98,4.51,9.19,0.295,3.09
20/12/2010,2.00362,1.12152,0.2525,9.48104,34.372601,1.64,3.65,1.54,14.32,1.275,0.94403,9.49189,1.18,2.84,3.36,17.879999,4.59,9.37,0.285,3.04
27/12/2010,2.02317,1.13079,0.255,9.93753,35.598099,1.65,3.71,1.55,14.32,1.28333,0.95894,9.58895,1.18,2.88,3.42,18.200001,4.75,9.26,0.285,3.05
3/01/2011,2.11113,1.14932,0.2575,10.1833,35.267399,1.7,3.88,1.59,14.9,1.3,0.949,9.99657,1.19,2.86,3.34,19.440001,4.87,9.51,0.29,3.06
10/01/2011,2.13068,1.14005,0.2525,10.1658,34.6255,1.74,3.71,1.64,14.7,1.28333,0.96391,9.8607,1.18,2.9,3.37,19.16,5,9.91,0.29,3.1
17/01/2011,2.04272,1.13079,0.2525,9.97265,33.477798,1.78,3.64,1.62,14.82,1.30833,0.98875,9.65688,1.19,2.91,3.3,19.299999,4.83,9.75,0.285,3.04
24/01/2011,2.07204,1.12152,0.2525,10.552,34.1003,1.75,3.64,1.62,15.14,1.28333,0.949,9.69571,1.17,2.82,3.32,19.98,4.84,9.68,0.29,3.16
31/01/2011,2.06226,1.12152,0.255,10.394,32.816399,1.8,3.61,1.58,15.14,1.28333,0.93906,9.56954,1.18,2.76,3.27,19.9,4.99,9.77,0.28,3.1
7/02/2011,2.01339,1.09371,0.255,9.79707,30.3654,1.79,3.34,1.56,14.8,1.25,0.92416,9.22985,1.18,2.6,3.12,18.6,4.54,9.31,0.28,3.04
14/02/2011,1.9743,1.12152,0.25,10.2887,33.186001,1.75,3.39,1.55,14.6,1.23333,0.91919,9.13279,1.14,2.64,3.28,18.799999,4.52,9.38,0.29,2.95
21/02/2011,1.98407,1.10298,0.245,10.0253,32.796902,1.75,3.32,1.54,14.32,1.15833,0.90428,8.98721,1.15,2.58,3.26,18.24,4.51,9.45,0.285,2.98
28/02/2011,1.94498,1.09371,0.245,10.2536,34.391998,1.76,3.37,1.52,14.2,1.13333,0.91919,9.02603,1.16,2.66,3.17,18.5,4.7,9.34,0.28,2.91
7/03/2011,1.92543,1.10298,0.2425,10.2711,34.236401,1.7,3.29,1.51,14.36,1.10833,0.90428,8.99692,1.16,2.62,3.2,18.74,4.76,9.31,0.29,2.96
14/03/2011,1.84724,1.0381,0.235,10.0078,32.5051,1.66,3.14,1.5,14,1.04167,0.83472,8.73487,1.16,2.53,3.12,18.120001,4.59,8.95,0.285,2.85
21/03/2011,1.94498,1.09371,0.24,10.4643,35.870399,1.75,3.33,1.51,14.32,1.13333,0.87944,9.13279,1.16,2.56,3.18,18.58,4.75,9.35,0.29,2.91
28/03/2011,1.95475,1.10298,0.24,10.8856,35.851002,1.73,3.34,1.57,14.72,1.13333,0.89931,9.30749,1.16,2.56,3.24,18.98,4.8,9.65,0.29,3.03
4/04/2011,1.95475,1.10298,0.2375,11.1666,36.512402,1.73,3.5,1.55,14.8,1.19167,0.90925,9.47248,1.14,2.63,3.27,19.52,4.96,9.78,0.285,3.07
11/04/2011,1.9352,1.08444,0.235,10.991,35.6954,1.75,3.41,1.55,14.66,1.15833,0.90428,9.40454,1.15,2.55,3.24,19.58,4.96,9.44,0.29,3.06
18/04/2011,1.95475,1.12152,0.235,11.3597,35.851002,1.73,3.45,1.55,14.94,1.15833,0.90925,9.19102,1.15,2.53,3.28,19.92,4.95,9.54,0.29,3.12
25/04/2011,1.98407,1.10298,0.2275,11.4914,35.870399,1.73,3.4,1.53,14.98,1.125,0.89931,9.26867,1.16,2.58,3.15,19.620001,4.84,9.65,0.285,3.12
2/05/2011,1.94498,1.09371,0.2225,10.9313,35.773201,1.75,3.28,1.47,14.5,1.08333,0.88441,8.87075,1.15,2.57,3.05,18.799999,4.79,9.65,0.285,3.1
9/05/2011,1.96453,1.10298,0.225,11.2403,37.504398,1.77,3.2,1.49,14.76,1.06667,0.89435,9.19102,1.15,2.67,3.08,19.5,4.9,8.95,0.285,3.16
16/05/2011,1.9743,1.10298,0.2225,11.0279,37.854599,1.79,3.14,1.49,14.74,1.05,0.90428,9.23955,1.16,2.67,3.04,19.440001,4.99,8.66,0.29,3.22
23/05/2011,1.9743,1.08444,0.22,10.9313,38.5938,1.82,3.11,1.44,14.72,1.04167,0.89931,9.08427,1.14,2.64,2.97,19.459999,4.92,8.8,0.28,3.17
